unmasked_text,span_labels
"Salut Sophie, vos données de santé récemment téléchargées sur https://extroverted-priesthood.com sont protégées. Seuls les membres Director peuvent y accéder pour les analyser.","[[6, 12, 'FIRSTNAME_1']]"
"Nous tenons à vous informer que Will, Gleichner and Smith organise un atelier immersif de 2 jours sur le leadership éducatif ce week-end à Suite 374. Confirmez votre participation à Oliver.Pagac11@gmail.com.","[[182, 206, 'EMAIL_1']]"
"Veuillez vous assurer de régler toutes les sommes dues de ₹0.0001b liées à la propriété située au Waterloo Road 44679, relevant du compte 79151312.","[[98, 111, 'STREET_1']]"
"Bonjour Jensen, veuillez vérifier les paramètres de l'exposition d'art interactive. Les identifiants de connexion sont NmoYgeNiti4A. Ajustez la hauteur, elle devrait idéalement être de 189 centimeters.","[[8, 14, 'FIRSTNAME_1']]"
"Chers étudiants, il y a une opportunité de participer à un projet de recherche en psychologie du développement explorant les effets des influences externes sur le comportement des adolescents en Virginie-Occidentale. Veuillez indiquer votre intérêt en envoyant vos coordonnées à Phyllis79@yahoo.com.","[[279, 298, 'EMAIL_1']]"
"Cher Dr., votre discours d'ouverture dans le domaine de l'endocrinologie était impressionnant. Nous sommes impatients de le publier dans notre journal. Veuillez envoyer le manuscrit final à Alexandria.Howell@hotmail.com.","[[190, 219, 'EMAIL_1']]"
Demande du patient résidant dans le 52185 concernant une option de traitement réduite en raison de son âge : 68.,"[[36, 41, 'ZIPCODE_1'], [109, 111, 'AGE_1']]"
"Bonjour Arnulfo, nous avons bien reçu le paiement de Brazilian Real0.0003b pour le séminaire Arts à l'éducation. Veuillez vous attendre à un email de confirmation de Evelyn_Moore85@gmail.com.","[[8, 15, 'FIRSTNAME_1'], [166, 190, 'EMAIL_1']]"
Demandez à Producer d'organiser le transport pour les visites de litige à 35188-7776. Essentiel pour notre mouvement en faveur de la loi sur les animaux. Utilisez des véhicules immatriculés sous les numéros QQ32HRK OG76SUH.,"[[74, 84, 'ZIPCODE_1']]"
Veuillez confirmer si le paiement de UAE Dirham5000 pour les services d'imagerie à 94453 a été effectué. Veuillez payer avec ma carte de crédit 9756485957934621 émise par maestro.,"[[83, 88, 'ZIPCODE_1'], [144, 160, 'CREDITCARDNUMBER_1'], [171, 178, 'CREDITCARDISSUER_1']]"
